Timestamp (s),Q_A [SLPM],Q_B,Q_C,Q_D
1.6087519,0,0,0.928340949,0.246774176
1.7373571,0,0,0.888458264,0.23617245
1.7914391,0,0,0.88427705,0.235060988
1.8919096,0,0,0.861567394,0.229024244
1.9959534,0,0,0.84289756,0.224061377
2.1544877,0,0,0.821342512,0.218331554
2.2964921,0,0,0.789864847,0.209964073
2.3953363,0,0,0.767460058,0.20400837
2.533089,0,0,0.746365253,0.19840089
2.6296011,0,0,0.722739407,0.192120602
2.7197749,0,0,0.703388282,0.186976632
2.7620268,0,0,0.698495371,0.185675985
2.8834387,0,0,0.676808068,0.179911005
2.9709202,0,0,0.657308265,0.174727514
3.0782724,0,0,0.638979682,0.169855359
3.2104247,0,0,0.617377125,0.164112907
3.2888432,0,0,0.595388361,0.158267792
3.3221245,0,0,0.590817497,0.157052752
3.4505928,0,0,0.57064346,0.151690034
3.5535818,0,0,0.548386232,0.145773555
3.6763816,0,0,0.525479482,0.139684419
3.7746585,0,0,0.505800198,0.134453217
3.8909807,0,0,0.487956814,0.129710039
4.0103108,0,0,0.463995147,0.123340482
4.1447795,0,0,0.439639063,0.11686608
4.2337134,0,0,0.41757545,0.111001069
4.2893185,0,0,0.412024388,0.10952547
4.4340609,0,0,0.386558386,0.102756027
4.5447512,0,0,0.359658794,0.095605502
4.6825664,0,0,0.337980668,0.089842962
4.8066597,0,0,0.314812189,0.083684253
4.9341305,0,0,0.289015475,0.076826899
5.0548407,0,0,0.265889719,0.070679546
5.1674733,0,0,0.245481446,0.065254562
5.3135002,0,0,0.222210001,0.059068481
5.3951684,0,0,0.197983031,0.052628401
5.4381123,0,0,0.192289743,0.051114995
5.5548475,0,0,0.173366298,0.046084712
5.6423068,0,0,0.151573929,0.040291804
5.704102,0,0,0.145454721,0.038665179
5.8162149,0,0,0.121168927,0.032209462
5.9462335,0,0,0.09979317,0.026527298
6.0298128,0,0,0.077586309,0.020624209
6.067379,0,0,0.072007433,0.019141216
6.2144625,0,0,0.052208383,0.013878178
6.3450121,0,0,0.02537804,0.006746061
6.4545206,0,0,0.000629543,0.000167347
6.5699645,0,0,0,0
6.7269231,0,0,0,0
6.8527125,0,0,0,0
6.9564354,0,0,0,0
7.0767918,0,0,0,0
7.1941583,0,0,0,0
7.254607,0,0,0,0
7.4052649,0,0,0,0
7.532151,0,0,0,0
7.6120857,0,0,0,0
7.6360505,0,0,0,0
7.7604029,0,0,0,0
7.8782589,0,0,0,0
7.9758241,0,0,0,0
8.0982498,0,0,0,0
8.2314977,0,0,0,0
8.3310306,0,0,0,0
8.4598298,0,0,0,0
8.5743831,0,0,0,0
8.6940961,0,0,0,0
8.8066101,0,0,0,0
8.9281059,0,0,0,0
9.0378239,0,0,0,0
9.1317185,0,0,0,0
9.2356342,0,0,0,0
9.3551198,0,0,0,0
9.4251736,0,0,0,0
9.4741261,0,0,0,0
9.5610941,0,0,0,0
9.5957717,0,0,0,0
9.7096061,0,0,0,0
9.8184808,0,0,0,0
9.9353529,0,0,0,0
10.0450091,0,0,0,0
10.1603774,0,0,0,0
10.246155,0,0,0,0
10.3457558,0,0,0,0
10.4709798,0,0,0,0
10.5744403,0,0,0,0
10.68677,0,0,0,0
10.8101733,0,0,0,0
10.948015,0,0,0,0
11.0642092,0,0,0,0
11.1593523,0,0,0,0
11.1932689,0,0,0,0
11.2948033,0,0,0,0
11.402328,0,0,0,0
11.5206019,0,0,0,0
11.6275017,0,0,0,0
11.7492829,0,0,0,0
11.8558107,0,0,0,0
11.9820946,0,0,0,0
12.06509,0,0,0,0
